#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,chunkId,meshingUs,vertexCount
1,1840697350,91855,1136
1,613565254,96107,48
2,1840700010,95200,1488
3,1227133451,112974,812
4,2406,110604,128
5,613564431,101183,596
6,1840700270,118606,164
7,1840698115,61217,620
7,1227149826,106294,864
9,1840697379,110875,848
9,1840697926,103118,148
10,613567047,109376,144
11,613564418,96342,696
13,1227133007,104896,408
15,1840697638,108733,1532
15,778,80039,884
15,1227133454,129351,364
16,2575,65788,812
17,870,85923,1348
17,1840697602,130713,200
17,1227133454,139437,364
18,1227135779,119695,968
20,2059,81629,908
20,1840697899,130036,864
20,613566794,130360,36
21,52,54800,1524
21,2862,77905,628
21,1227135782,116098,624
21,1840700263,107185,1776
26,10,111370,880
26,1840700171,84655,1580
27,1227133781,59305,824
29,1840700259,117744,764
29,613565007,109676,440
30,1227133710,119474,496
32,1840697702,67639,696
32,1227133190,112106,1664
34,613564427,94472,1716
35,613566521,39662,1664
38,613564700,80650,1572
38,1840699471,56947,632
38,6434,112439,528
39,1227133561,93487,2800
40,613564418,100771,696
41,613570562,92274,1176
42,1840698214,69225,868
43,613565294,100875,700
44,1227133008,110853,2380
44,16450,110237,236
45,629,48821,1256
45,1840700194,88462,1236
47,613566566,137966,48
47,613564490,118425,332
47,613566524,44112,536
48,551,77339,644
49,111,58695,876
49,1227133806,124747,68
49,270,94782,436
50,1227133713,41548,636
50,1840697615,80099,864
51,1227135783,100576,832
51,2068,40535,2024
51,1227133703,105048,208
51,1227135612,83034,1176
51,1227133497,39803,1216
51,1227133795,101771,56
51,2626,67480,424
51,558,92322,1856
52,1227132985,76621,1040
52,15,87881,644
52,597,62201,1016
53,1227133713,38651,636
54,1840697870,126771,460
55,1840697699,79826,800
55,1227132974,118401,172
57,1227135605,95718,848
58,613566767,119880,392
59,2147,54042,796
60,2603,76627,904
60,7,112768,428
61,2159,54226,668
61,613566516,77614,2048
62,1840699997,35562,1792
63,1227135554,115985,124
63,1840698154,63732,1044
65,1840697679,68174,728
66,2333,49044,2020
66,613566827,108736,504
67,1840699918,101316,1944
67,613566545,44634,324
67,11,104179,1220
68,1840699705,102307,4260
69,1840699463,69852,832
70,4358,113752,180
71,4294965231,29679,76
71,1840697707,77318,1752
72,2859,81791,828
72,1840699996,29263,32
